acidgreen	0x8ffe09
purplishblue	0x601ef9
purplishbrown	0x6b4247
purplishgrey	0x7a687f
purplishpink	0xce5dae
purplishred	0xb0054b
purply	0x983fb2
purplyblue	0x661aee
purplypink	0xf075e6
putty	0xbeae8a
racinggreen	0x014600
radioactivegreen	0x2cfa1f
raspberry	0xb00149
rawsienna	0x9a6200
rawumber	0xa75e09
reallylightblue	0xd4ffff
red	0xe50000
redbrown	0x8b2e16
reddish	0xc44240
reddishbrown	0x7f2b0a
reddishgrey	0x997570
reddishorange	0xf8481c
reddishpink	0xfe2c54
reddishpurple	0x910951
reddybrown	0x6e1005
redorange	0xfd3c06
redpink	0xfa2a55
redpurple	0x820747
redviolet	0x9e0168
redwine	0x8c0034
richblue	0x021bf9
richpurple	0x720058
robineggblue	0x8af1fe
robinsegg	0x6dedfd
robinseggblue	0x98eff9
rosa	0xfe86a4
rose	0xcf6275
rosepink	0xf7879a
rosered	0xbe013c
rosypink	0xf6688e
rouge	0xab1239
royal	0x0c1793
royalblue	0x0504aa
royalpurple	0x4b006e
ruby	0xca0147
russet	0xa13905
rust	0xa83c09
rustbrown	0x8b3103
rustorange	0xc45508
rustred	0xaa2704
rustyorange	0xcd5909
rustyred	0xaf2f0d
saffron	0xfeb209
sage	0x87ae73
sagegreen	0x88b378
salmon	0xff796c
salmonpink	0xfe7b7c
sand	0xe2ca76
sandbrown	0xcba560
sandstone	0xc9ae74
sandy	0xf1da7a
sandybrown	0xc4a661
sandyellow	0xfce166
sandyyellow	0xfdee73
sapgreen	0x5c8b15
sapphire	0x2138ab
scarlet	0xbe0119
sea	0x3c9992
seablue	0x047495
seafoam	0x80f9ad
seafoamblue	0x78d1b6
seafoamgreen	0x7af9ab
seagreen	0x53fca1
seaweed	0x18d17b
seaweedgreen	0x35ad6b
sepia	0x985e2b
shamrock	0x01b44c
shamrockgreen	0x02c14d
shit	0x7f5f00
shitbrown	0x7b5804
shitgreen	0x758000
shockingpink	0xfe02a2
sickgreen	0x9db92c
sicklygreen	0x94b21c
sicklyyellow	0xd0e429
sienna	0xa9561e
